100
2 0
1 1
x 5 59
x 36 95
x 11 94
x 92 20
x 9 25
x 12 21
x 100 32
x 88 80
x 33 75
x 48 98
x 95 34
x 3 33
x 17 56
x 70 36
x 13 47
x 79 43
x 90 100
x 26 78
x 25 27
x 34 40
x 75 87
x 41 96
x 86 2
x 76 53
94 87
+ 61 62
o 80 29
x 90 3
+ 44 90
+ 37 68
x 94 5
+ 37 35
+ 5 35
+ 48 1
o 42 84
x 45 94
x 53 68
+ 15 83
x 23 86
+ 19 8
o 22 65
+ 16 41
+ 66 14
x 50 43
o 9 90
o 79 13
x 21 85
x 37 34
x 51 1
x 44 62
o 32 81
+ 21 38
x 18 53
+ 9 6
o 47 8
+ 3 31
o 61 47
+ 62 1
o 31 27
+ 4 4
+ 92 54
o 56 88
x 88 4
+ 44 94
x 6 78
x 85 18
x 68 56
+ 44 29
o 72 2
+ 25 7
+ 30 52
x 15 28
+ 35 43
+ 91 26
o 58 9
o 2 75
+ 11 49
o 12 92
o 8 71
+ 59 6
x 36 17
+ 43 19
+ 45 3
+ 11 14
x 74 31
+ 28 86
+ 59 80
o 7 21
+ 72 24
o 14 61
+ 2 81
+ 43 13
+ 1 30
+ 94 48
+ 46 72
x 59 82
o 57 64
+ 14 50
+ 21 91
+ 81 44
+ 90 47
+ 64 76
+ 85 62
x 67 54
o 10 25
+ 5 92
x 69 72
+ 42 46
x 54 6
x 30 59
o 33 70
o 55 60
100 100
x 42 71
+ 16 55
x 9 1
x 55 50
+ 37 56
x 13 18
x 75 94
+ 55 7
x 17 24
+ 22 51
+ 5 45
+ 31 44
x 62 25
x 7 22
+ 5 31
x 54 27
x 51 80
+ 1 5
x 66 68
+ 5 6
x 97 19
x 85 87
x 79 91
x 29 64
+ 7 3
x 94 76
x 84 6
x 87 20
x 19 84
+ 68 4
x 14 5
x 78 92
x 70 48
+ 21 77
+ 70 21
x 38 47
x 56 89
x 58 11
x 22 30
x 98 57
+ 10 30
x 21 86
+ 37 17
x 65 26
x 28 53
x 34 2
+ 1 1
x 44 66
x 92 73
+ 17 40
+ 57 12
x 33 49
x 93 55
x 39 90
+ 51 39
x 53 4
x 77 52
x 24 99
+ 2 13
x 64 15
+ 35 43
x 10 96
x 68 81
x 89 82
x 27 40
x 4 7
x 20 13
+ 1 16
x 52 61
+ 30 64
x 31 16
+ 57 31
x 8 97
+ 5 7
+ 61 3
x 100 79
+ 10 48
x 41 9
+ 12 73
x 5 37
x 76 67
+ 37 31
x 18 32
x 36 8
x 12 36
+ 35 14
x 74 60
x 15 72
+ 2 54
+ 49 32
x 35 74
+ 1 26
x 71 29
x 23 83
+ 41 25
x 45 35
+ 3 25
x 11 39
x 30 78
x 32 56
72 68
+ 19 4
+ 32 67
x 57 69
x 30 21
+ 34 59
+ 39 12
o 68 23
+ 10 23
+ 1 17
+ 39 39
+ 27 2
x 13 6
o 46 20
o 9 28
o 26 44
o 56 68
+ 65 8
+ 18 58
+ 37 65
o 2 8
+ 4 48
o 42 1
+ 40 18
x 27 40
x 69 45
x 22 30
o 33 70
+ 67 17
+ 31 40
+ 22 17
+ 72 25
+ 25 6
x 48 33
o 50 22
+ 49 38
x 24 63
+ 6 30
+ 51 72
o 60 58
+ 61 44
x 1 9
+ 39 70
+ 41 51
x 52 35
+ 62 50
+ 2 4
+ 72 48
+ 57 11
x 41 37
o 64 16
x 51 42
x 28 59
o 23 72
o 17 64
o 45 10
+ 56 4
+ 40 9
+ 29 11
+ 72 18
x 3 48
o 63 14
+ 17 40
o 25 2
o 66 13
+ 49 15
+ 2 10
x 38 66
o 40 7
100 98
+ 9 3
+ 4 6
+ 1 15
+ 2 88
+ 27 53
+ 6 53
+ 43 56
+ 7 16
+ 33 25
+ 12 5
+ 18 2
+ 25 5
+ 72 16
+ 58 5
+ 6 42
+ 38 1
+ 8 11
+ 24 72
+ 17 68
+ 25 6
+ 29 17
+ 16 2
+ 30 13
+ 5 20
+ 16 73
+ 47 25
+ 14 39
+ 1 6
+ 8 14
+ 27 39
+ 7 2
+ 48 9
+ 42 7
+ 83 11
+ 72 23
+ 34 3
+ 31 7
+ 20 7
+ 91 9
+ 10 37
+ 76 8
+ 25 43
+ 73 25
+ 15 54
+ 5 1
+ 9 64
+ 35 43
+ 15 71
+ 4 11
+ 13 63
+ 18 47
+ 6 77
+ 2 1
+ 72 5
+ 31 1
+ 35 1
+ 3 26
+ 1 1
+ 6 44
+ 80 7
+ 20 21
+ 2 19
+ 21 54
+ 18 38
+ 52 8
+ 24 21
+ 77 14
+ 23 51
+ 25 15
+ 1 12
+ 24 40
+ 64 6
+ 12 42
+ 38 23
+ 2 60
+ 2 12
+ 5 77
+ 25 68
+ 1 23
+ 44 8
+ 7 28
+ 39 16
+ 3 1
+ 62 17
+ 92 5
+ 27 1
+ 36 15
+ 22 4
+ 6 65
+ 20 24
+ 5 29
+ 37 5
+ 16 51
+ 10 1
+ 16 85
+ 53 28
+ 67 25
+ 7 26
97 98
x 6 58
+ 4 32
o 76 21
x 67 30
+ 85 95
o 2 26
x 83 89
x 8 74
x 74 16
o 14 5
+ 2 45
o 68 7
+ 8 1
+ 6 72
x 80 22
x 58 86
x 82 6
o 22 27
o 23 92
+ 31 2
x 97 17
+ 19 95
x 19 68
+ 60 27
+ 28 18
+ 38 52
+ 80 20
x 95 97
o 65 82
+ 64 5
x 32 67
+ 61 83
+ 58 97
x 52 38
x 27 33
o 17 18
o 79 31
o 57 88
+ 96 92
o 87 65
o 78 93
o 25 43
x 69 52
+ 21 2
+ 40 49
+ 82 67
x 91 90
o 41 10
+ 96 23
+ 53 1
+ 89 7
+ 81 85
x 49 45
o 24 13
+ 5 53
+ 5 40
+ 96 15
x 38 71
+ 51 85
o 28 60
x 20 87
+ 61 4
+ 38 4
o 44 41
x 66 28
x 51 73
+ 87 47
x 93 70
o 96 69
+ 13 11
+ 21 20
+ 45 27
x 47 59
+ 31 39
+ 16 28
x 62 46
+ 48 16
x 48 77
o 88 80
+ 2 38
+ 11 70
+ 47 91
o 7 85
+ 65 26
o 10 40
x 5 79
+ 83 37
x 53 50
o 45 94
+ 50 73
x 59 56
+ 86 23
+ 77 41
x 21 53
+ 77 30
+ 38 89
+ 37 89
+ 29 76
100 24
x 41 63
x 86 47
x 14 97
x 43 95
x 53 25
x 84 94
x 17 93
+ 32 8
+ 1 1
+ 14 8
+ 21 3
+ 50 39
x 48 8
+ 73 25
+ 1 2
x 72 64
x 62 65
x 66 23
x 38 1
x 75 40
+ 21 75
+ 35 16
x 42 45
+ 47 17
94 90
o 54 9
+ 89 89
o 71 61
x 43 15
+ 32 8
+ 33 13
+ 33 12
x 63 50
x 58 21
x 9 62
x 13 10
x 88 12
+ 66 81
+ 90 47
o 85 46
+ 86 9
x 27 1
+ 16 10
o 40 49
+ 25 49
+ 36 76
o 49 17
x 59 81
o 78 60
+ 90 14
+ 63 61
x 84 16
+ 89 39
+ 58 4
x 23 86
o 61 79
o 8 84
o 67 19
x 69 34
o 90 7
o 93 77
+ 59 29
o 68 8
x 87 40
o 76 6
o 36 67
o 81 91
+ 23 1
+ 27 81
+ 58 44
+ 89 18
+ 17 4
x 4 68
+ 88 41
x 53 89
+ 59 89
x 50 87
+ 19 92
+ 77 2
+ 58 87
+ 45 3
+ 2 81
o 45 36
x 91 58
+ 60 81
x 25 37
x 42 47
+ 15 26
+ 81 17
o 51 88
o 94 65
o 52 69
+ 51 74
+ 92 89
o 56 70
+ 54 60
+ 32 87
x 32 13
x 18 64
+ 90 86
x 55 26
+ 27 83
+ 50 9
+ 34 27
x 26 51
+ 48 61
+ 94 77
+ 94 60
+ 8 35
x 20 24
+ 45 90
x 29 18
+ 63 12
+ 49 3
o 38 85
83 79
o 33 10
+ 81 64
x 24 28
x 78 65
+ 49 51
+ 24 71
x 67 49
x 34 21
+ 7 83
+ 58 71
+ 4 4
x 48 26
+ 47 5
+ 19 53
+ 21 75
x 2 13
x 57 4
+ 31 22
o 4 8
o 77 43
o 83 38
o 44 69
o 16 11
o 1 24
o 66 82
+ 13 76
o 43 31
x 10 7
o 74 73
x 23 41
o 51 33
x 47 60
x 50 9
x 71 70
+ 66 3
+ 54 2
x 12 77
+ 28 59
+ 26 59
x 70 3
x 6 35
x 41 55
o 28 1
x 13 39
+ 70 23
x 72 54
+ 2 5
x 27 15
+ 50 12
+ 7 73
+ 41 76
o 29 53
+ 27 64
o 54 80
+ 2 42
+ 55 83
+ 4 72
+ 4 77
x 21 48
o 37 67
x 5 5
x 58 68
o 60 45
+ 2 77
x 73 79
+ 7 51
+ 14 83
+ 28 8
+ 78 59
+ 8 53
+ 5 43
+ 77 53
o 25 30
o 53 20
o 59 29
+ 81 41
+ 47 3
o 52 62
+ 34 76
13 14
+ 5 5
+ 5 2
x 6 5
x 2 9
x 7 10
+ 13 8
+ 12 10
+ 12 3
+ 5 13
+ 1 8
+ 3 9
x 1 3
o 3 8
x 12 11
57 58
+ 8 30
o 40 4
+ 24 57
+ 39 11
+ 35 54
x 1 48
+ 37 6
+ 54 34
o 36 19
o 28 29
x 12 54
+ 56 37
+ 50 36
x 32 36
+ 43 8
+ 38 41
o 24 6
x 22 8
+ 33 4
+ 26 40
o 43 28
o 9 47
x 13 21
+ 12 36
+ 12 51
o 31 43
o 25 45
+ 33 12
+ 47 31
+ 24 56
x 21 52
x 3 31
x 34 3
o 37 10
o 5 34
x 27 2
o 20 55
+ 42 42
x 18 12
o 2 57
+ 4 20
+ 40 47
x 11 53
+ 37 3
+ 2 7
+ 25 48
x 26 13
+ 46 22
x 42 32
x 7 24
x 52 5
x 35 11
o 54 15
+ 13 7
+ 4 17
+ 1 10
o 55 7
+ 38 56
100 89
+ 1 50
+ 57 32
+ 60 23
+ 6 36
x 80 75
x 48 7
+ 16 29
+ 12 18
x 36 89
x 88 6
x 37 52
x 19 55
x 100 27
x 56 43
+ 45 28
+ 39 54
+ 17 1
+ 55 12
+ 26 18
x 68 96
x 27 24
+ 50 28
x 26 85
x 92 30
x 18 78
x 91 1
x 3 60
+ 26 2
x 95 84
+ 7 73
+ 46 48
+ 3 1
+ 29 28
+ 27 14
+ 43 33
x 70 83
+ 30 35
x 78 100
x 12 14
+ 22 26
+ 65 26
x 66 45
x 34 33
+ 2 3
x 15 53
+ 26 7
+ 2 24
+ 17 68
x 58 41
+ 93 4
+ 15 1
+ 15 4
+ 19 50
x 43 37
x 29 2
+ 23 8
+ 61 2
x 71 76
+ 19 13
x 81 16
x 63 59
x 11 19
+ 57 7
x 4 57
+ 34 6
x 9 70
x 74 35
x 2 40
x 46 31
x 6 32
+ 1 1
x 17 77
x 84 88
x 20 17
x 28 25
+ 5 1
+ 8 62
x 49 61
x 39 56
x 85 39
x 79 12
+ 69 2
+ 56 25
x 1 9
x 64 95
+ 14 11
+ 24 51
x 5 81
x 8 90
51 45
o 50 6
+ 3 43
o 1 32
o 7 45
x 47 30
+ 2 51
o 49 24
o 20 10
o 23 27
+ 26 12
x 32 39
+ 47 32
x 38 44
x 33 26
o 2 4
+ 1 24
+ 34 50
o 15 20
+ 1 8
o 45 48
+ 50 11
+ 27 10
+ 47 28
+ 19 17
+ 17 12
x 46 18
x 11 51
o 8 47
x 4 19
+ 20 37
o 18 33
x 31 29
o 16 12
+ 28 6
+ 14 27
+ 9 30
x 41 22
+ 37 34
+ 23 47
o 39 1
o 35 34
x 27 46
+ 42 16
x 36 13
o 51 16
78 150
o 72 24
+ 46 77
o 26 21
o 6 20
x 21 46
+ 77 56
+ 78 70
+ 39 45
+ 46 67
+ 54 40
+ 6 38
x 32 39
o 4 14
x 37 13
+ 54 10
o 18 60
o 30 18
+ 33 78
+ 43 71
x 33 19
+ 77 47
x 65 76
o 46 9
+ 7 67
o 25 73
o 49 50
o 54 29
o 10 12
x 11 15
o 70 47
+ 64 75
o 8 41
x 62 42
x 53 74
+ 60 7
o 24 71
o 60 49
+ 1 52
x 23 8
+ 10 76
+ 25 41
o 40 70
+ 57 12
+ 43 60
+ 11 52
+ 65 50
+ 63 2
x 45 53
o 22 34
+ 73 64
+ 18 27
+ 65 78
x 74 1
+ 35 2
+ 52 21
o 77 64
x 31 62
+ 11 4
+ 25 60
+ 57 5
+ 69 20
x 50 5
x 42 23
+ 1 26
x 66 40
o 15 37
+ 43 17
+ 61 14
x 13 25
x 57 26
+ 19 58
+ 73 73
o 64 36
+ 14 19
x 16 38
o 29 2
+ 70 2
x 52 52
x 7 61
+ 49 72
o 63 66
+ 12 11
x 5 54
+ 12 75
+ 39 58
+ 17 63
o 56 32
o 44 10
o 59 43
+ 41 78
o 68 22
+ 31 39
x 3 78
+ 48 13
+ 50 68
+ 35 16
+ 56 2
x 27 55
o 1 28
x 38 11
+ 68 3
o 43 69
o 76 17
x 36 30
+ 68 11
x 34 4
o 78 27
o 2 57
+ 75 32
+ 42 1
o 61 59
x 75 45
+ 55 70
+ 68 13
+ 64 68
+ 49 78
x 58 58
x 48 33
o 12 56
+ 29 53
x 69 3
+ 70 66
+ 6 13
o 9 67
o 17 7
+ 59 42
+ 75 33
x 14 48
o 20 72
x 51 65
x 67 31
+ 3 39
+ 9 29
+ 2 55
+ 36 4
x 28 63
o 35 6
o 71 35
x 55 51
x 73 77
+ 21 70
o 41 75
+ 55 49
+ 34 12
o 19 16
+ 5 45
+ 26 8
+ 77 57
x 39 44
x 47 68
41 35
+ 1 20
o 7 22
+ 2 26
x 11 5
x 8 12
+ 6 39
o 34 18
+ 35 27
+ 39 34
o 29 40
+ 31 9
x 33 28
+ 26 40
o 24 23
+ 1 24
+ 6 14
o 41 8
+ 16 23
+ 10 13
o 10 41
x 40 20
x 36 30
+ 39 24
x 19 29
+ 40 16
+ 33 10
+ 30 12
o 30 1
o 32 33
+ 20 7
+ 30 4
o 14 19
x 9 24
+ 34 36
x 2 35
100 74
x 87 94
x 51 22
x 57 88
x 3 97
x 59 42
x 84 69
x 94 70
x 38 53
x 34 16
x 22 2
x 85 80
x 99 92
x 27 50
x 20 7
x 39 17
x 14 20
x 16 100
x 79 54
x 2 27
x 44 12
x 9 36
x 36 40
x 10 57
x 98 19
x 95 8
x 15 52
x 63 91
x 23 49
x 25 84
x 80 78
x 64 83
x 78 10
x 19 75
x 76 62
x 54 9
x 97 82
x 67 21
x 12 30
x 26 60
x 8 29
x 6 66
x 1 63
x 52 89
x 93 86
x 47 38
x 62 68
x 90 1
x 55 73
x 21 72
x 33 11
x 65 28
x 13 98
x 96 34
x 35 90
x 31 79
x 75 71
x 40 61
x 77 65
x 72 31
x 68 95
x 66 25
x 41 99
x 28 13
x 29 58
x 58 44
x 32 85
x 70 59
x 24 24
x 73 5
x 92 81
x 18 46
x 61 37
x 74 45
x 30 67
100 198
+ 100 70
+ 100 4
+ 1 48
+ 1 57
+ 1 32
+ 1 8
+ 100 80
+ 100 34
+ 100 11
+ 100 85
+ 1 36
+ 1 46
+ 100 64
+ 100 51
+ 1 38
+ 100 92
+ 1 13
+ 100 36
+ 100 38
+ 100 57
+ 100 45
+ 100 19
+ 1 88
+ 100 90
+ 100 63
+ 1 14
+ 1 49
+ 100 78
+ 1 51
+ 1 40
+ 100 33
+ 100 50
+ 100 24
+ 100 69
+ 100 91
+ 1 47
+ 100 77
+ 1 65
+ 100 72
+ 100 46
+ 1 18
+ 1 12
+ 1 71
+ 100 99
+ 100 74
+ 1 24
+ 100 52
+ 100 12
+ 1 27
+ 1 81
+ 100 27
+ 100 88
+ 100 62
+ 1 9
+ 100 9
+ 1 77
+ 100 97
+ 1 35
+ 1 10
+ 1 85
+ 1 50
+ 100 81
+ 100 94
+ 1 82
+ 100 87
+ 1 6
+ 1 5
+ 1 79
+ 100 48
+ 1 20
+ 100 73
+ 1 7
+ 100 95
+ 1 66
+ 100 17
+ 1 39
+ 100 53
+ 1 11
+ 1 42
+ 100 2
+ 1 34
+ 100 15
+ 1 44
+ 1 26
+ 1 23
+ 1 95
+ 1 73
+ 1 89
+ 100 68
+ 1 59
+ 100 3
+ 1 75
+ 1 87
+ 100 89
+ 100 23
+ 1 63
+ 100 66
+ 100 67
+ 1 80
+ 100 93
+ 100 20
+ 1 16
+ 1 28
+ 100 44
+ 100 43
+ 100 26
+ 1 22
+ 100 22
+ 1 96
+ 100 13
+ 100 55
+ 1 90
+ 100 8
+ 100 16
+ 1 64
+ 100 47
+ 1 30
+ 100 60
+ 100 61
+ 1 74
+ 100 98
+ 1 70
+ 100 76
+ 1 52
+ 1 21
+ 100 83
+ 1 78
+ 100 56
+ 1 2
+ 100 59
+ 1 33
+ 100 7
+ 1 19
+ 1 83
+ 1 68
+ 100 39
+ 1 4
+ 100 75
+ 1 99
+ 1 94
+ 100 28
+ 1 43
+ 1 17
+ 1 93
+ 1 76
+ 100 54
+ 1 98
+ 100 31
+ 100 32
+ 100 86
+ 100 41
+ 1 1
+ 1 67
+ 100 42
+ 100 65
+ 100 6
+ 1 56
+ 100 84
+ 1 45
+ 100 79
+ 1 69
+ 1 31
+ 1 29
+ 100 29
+ 1 41
+ 1 25
+ 100 49
+ 1 37
+ 100 82
+ 100 25
+ 1 91
+ 1 92
+ 100 71
+ 100 10
+ 1 86
+ 1 62
+ 100 35
+ 1 100
+ 100 40
+ 1 58
+ 100 5
+ 1 97
+ 1 60
+ 100 58
+ 100 96
+ 1 84
+ 100 21
+ 1 55
+ 1 72
+ 1 54
+ 1 61
+ 1 53
+ 1 15
+ 100 18
+ 100 14
+ 100 30
+ 100 37
+ 1 3
100 20
+ 1 3
+ 20 19
+ 30 37
+ 40 19
+ 25 55
+ 4 1
+ 15 13
+ 20 3
+ 26 15
+ 35 21
+ 1 1
x 96 6
+ 54 15
+ 63 11
+ 47 7
+ 69 10
+ 13 65
+ 45 20
+ 40 44
+ 6 39
100 96
+ 1 73
+ 9 35
+ 7 13
+ 36 16
+ 2 30
+ 28 7
+ 11 51
+ 23 62
+ 8 89
+ 9 82
+ 14 61
+ 24 55
+ 30 37
+ 54 12
+ 13 24
+ 15 63
+ 19 3
+ 50 21
+ 45 55
+ 21 56
+ 3 6
+ 50 1
+ 6 1
+ 17 46
+ 41 4
+ 33 10
+ 13 34
+ 9 78
+ 16 73
+ 16 2
+ 7 21
+ 17 66
+ 10 76
+ 17 2
+ 11 15
+ 33 20
+ 37 62
+ 10 7
+ 14 15
+ 47 14
+ 3 33
+ 5 60
+ 22 42
+ 17 7
+ 78 18
+ 7 1
+ 56 38
+ 41 39
+ 37 11
+ 76 17
+ 77 13
+ 28 3
+ 2 10
+ 13 46
+ 50 7
+ 29 12
+ 28 21
+ 7 9
+ 31 23
+ 9 21
+ 52 21
+ 19 65
+ 1 38
+ 3 39
+ 2 19
+ 99 2
+ 5 10
+ 1 10
+ 72 10
+ 42 18
+ 12 64
+ 22 3
+ 1 55
+ 41 5
+ 18 40
+ 12 83
+ 30 8
+ 7 20
+ 13 37
+ 50 5
+ 31 3
+ 11 2
+ 2 1
+ 2 21
+ 61 11
+ 12 28
+ 1 1
+ 23 46
+ 97 1
+ 50 20
+ 4 64
+ 7 74
+ 72 20
+ 9 5
+ 22 11
+ 22 66
100 71
+ 1 1
+ 15 16
+ 1 17
+ 6 36
+ 60 2
+ 9 84
+ 4 22
+ 38 44
+ 37 22
+ 11 72
+ 15 10
x 90 89
x 52 61
x 76 39
+ 82 19
+ 73 13
x 57 70
x 19 13
+ 43 1
x 77 52
+ 53 25
+ 53 36
x 65 15
x 87 47
+ 6 47
x 83 9
x 88 95
+ 29 18
+ 10 18
+ 28 38
+ 4 1
+ 3 16
+ 2 1
+ 24 55
+ 44 21
+ 14 40
x 49 53
+ 79 20
x 96 10
+ 17 26
+ 67 30
x 70 66
+ 21 24
x 29 51
x 67 45
+ 1 6
x 64 20
+ 50 18
+ 15 26
+ 38 29
+ 12 58
+ 62 13
x 32 87
+ 38 18
x 41 83
+ 4 25
x 35 6
+ 6 51
x 43 5
x 58 63
+ 2 4
x 97 19
+ 14 8
+ 27 71
+ 5 3
x 82 92
+ 56 34
+ 58 18
+ 11 84
x 53 91
+ 76 4
100 100
x 44 36
x 83 21
x 6 20
x 65 89
x 79 57
x 56 84
x 35 80
x 74 55
+ 2 18
x 2 37
x 85 43
x 23 71
x 39 88
x 1 45
x 71 15
x 99 41
x 96 1
x 14 6
x 33 93
x 50 18
x 32 51
x 62 66
x 25 77
x 52 5
x 47 95
x 68 58
x 78 54
x 8 44
x 38 16
x 26 40
x 98 91
x 94 31
x 27 39
x 97 38
x 21 12
x 73 64
x 10 49
x 19 47
x 81 27
x 28 78
x 11 56
x 84 25
x 64 9
x 61 100
x 63 85
x 13 73
x 3 98
x 34 17
x 30 14
x 42 69
x 87 46
+ 7 1
+ 1 1
x 41 59
x 37 99
x 54 70
x 48 10
+ 11 29
x 69 96
x 4 62
x 7 75
x 82 26
x 86 94
x 72 76
x 93 4
x 66 13
x 95 28
+ 20 72
x 24 8
x 43 35
x 22 7
x 76 60
+ 5 69
x 88 34
x 70 81
x 80 32
x 55 65
x 16 22
x 12 82
x 17 2
x 40 92
x 5 79
x 92 23
x 15 48
x 91 86
x 45 68
+ 18 39
x 75 24
+ 28 4
x 29 61
x 57 72
x 89 33
x 60 42
+ 5 82
x 51 11
x 49 74
x 31 67
x 46 97
x 36 50
+ 10 27
100 97
x 40 78
x 42 75
x 6 62
+ 48 4
o 49 14
+ 95 61
+ 32 78
+ 5 27
+ 53 13
+ 45 52
o 90 45
+ 72 2
+ 6 21
+ 67 2
x 45 31
o 1 22
+ 53 3
+ 18 99
+ 66 70
o 27 51
o 32 66
+ 15 57
+ 81 77
o 55 68
+ 56 1
+ 96 83
x 52 9
+ 84 3
x 51 24
+ 22 72
+ 5 71
o 86 27
+ 7 7
x 67 38
+ 61 32
o 53 85
x 19 86
x 29 100
o 47 90
+ 20 100
x 66 16
+ 13 29
+ 12 59
+ 27 99
+ 94 11
+ 72 90
+ 48 32
+ 10 27
x 91 15
x 74 74
o 87 19
o 36 11
+ 14 97
o 79 48
+ 27 8
+ 40 99
x 33 88
+ 100 77
+ 87 60
x 8 95
+ 96 5
+ 7 81
o 18 44
+ 100 29
+ 100 44
+ 100 48
o 89 81
+ 79 33
x 16 3
x 62 97
+ 77 66
x 69 79
+ 86 32
o 12 65
o 48 93
+ 45 3
+ 11 48
+ 65 96
+ 7 78
+ 51 49
o 59 56
x 77 72
x 100 13
x 21 4
+ 69 94
o 73 76
o 54 42
x 60 73
o 7 43
+ 57 16
+ 55 12
x 34 34
x 58 53
o 10 30
+ 94 34
o 85 80
x 57 35
36 72
+ 31 16
o 24 12
o 25 15
+ 3 1
+ 3 19
x 31 36
x 19 10
x 8 2
+ 22 4
+ 5 7
o 35 26
+ 11 5
x 10 33
+ 4 10
x 34 27
+ 5 23
+ 3 14
+ 33 26
x 11 7
+ 33 30
x 1 6
x 4 29
o 30 25
+ 14 15
x 5 14
+ 11 33
o 33 13
+ 34 8
+ 2 23
x 20 17
o 23 30
+ 28 20
+ 16 35
x 7 5
x 27 11
x 21 24
+ 21 36
o 2 1
+ 36 13
+ 35 8
x 32 28
o 9 23
o 6 9
+ 6 18
+ 18 5
o 26 4
o 28 3
o 15 35
+ 18 1
x 18 19
x 16 8
+ 18 2
+ 6 35
+ 24 32
x 13 18
o 12 21
+ 32 36
+ 4 4
+ 32 2
+ 4 31
x 29 31
o 36 22
+ 11 28
+ 11 34
x 14 16
+ 8 13
+ 7 31
+ 5 1
+ 19 8
o 3 34
x 17 20
o 22 32
66 64
x 48 31
+ 53 3
+ 27 14
o 64 28
x 49 7
+ 65 11
x 54 6
x 20 34
+ 55 60
o 62 50
+ 41 54
x 21 18
+ 57 65
+ 24 46
x 58 54
x 5 26
+ 21 6
+ 41 66
x 52 16
o 56 62
x 53 8
x 37 23
+ 1 49
o 44 2
x 6 45
+ 9 40
+ 7 41
+ 63 35
x 28 10
+ 29 3
+ 11 44
+ 10 26
+ 15 22
x 38 15
x 34 44
+ 58 47
o 18 1
o 65 4
o 22 3
+ 19 14
+ 15 5
+ 22 22
+ 31 63
+ 32 8
o 23 20
x 2 33
+ 1 60
o 59 61
o 17 43
x 30 38
o 3 32
o 32 25
+ 45 13
+ 5 29
+ 54 65
x 10 49
+ 41 59
+ 65 38
+ 35 39
o 57 22
o 47 39
+ 52 30
+ 60 31
+ 24 4
62 124
+ 50 27
x 45 33
+ 3 50
x 8 40
x 53 54
+ 11 50
x 6 18
x 7 17
o 50 19
x 55 1
o 4 48
o 34 38
+ 60 42
+ 58 32
+ 1 39
o 9 8
+ 3 54
+ 41 1
+ 29 47
x 42 26
+ 19 62
o 30 57
x 29 12
+ 61 49
o 48 56
o 27 62
+ 14 37
x 59 29
o 2 16
x 33 49
+ 57 60
o 14 46
+ 6 2
+ 36 62
+ 36 11
x 51 44
+ 28 56
x 11 51
o 28 50
+ 61 34
o 52 2
+ 5 38
+ 23 7
+ 26 56
+ 26 62
+ 14 54
+ 43 48
+ 40 46
o 32 47
+ 19 5
o 23 39
o 20 14
x 5 42
+ 61 33
o 18 52
+ 30 8
o 46 53
+ 11 1
+ 31 2
o 1 25
+ 25 10
x 21 10
+ 31 1
x 19 15
+ 43 2
x 44 45
x 12 4
o 39 41
+ 60 11
o 25 6
+ 48 45
+ 6 31
o 62 11
+ 48 48
+ 1 10
x 35 30
o 43 32
o 22 34
+ 35 1
x 54 60
+ 12 13
x 41 9
x 3 43
x 47 27
x 13 58
x 26 35
x 49 22
+ 59 24
+ 36 3
o 61 24
+ 61 59
+ 23 42
+ 3 13
o 24 3
+ 24 4
x 57 61
+ 43 54
o 16 7
+ 49 17
o 38 21
o 36 28
+ 9 54
x 15 59
o 37 13
o 10 31
x 40 37
+ 1 47
x 17 36
x 31 23
+ 56 11
+ 61 48
+ 41 5
+ 6 1
x 56 20
+ 40 60
+ 41 3
+ 52 6
+ 6 23
+ 61 13
+ 11 4
x 60 5
+ 21 34
+ 9 40
x 58 55
100 41
x 13 51
x 69 61
+ 7 52
+ 2 7
x 24 17
+ 61 13
+ 1 15
+ 65 26
x 44 22
x 34 9
x 32 91
x 99 54
+ 2 94
x 70 66
x 17 3
+ 20 5
x 12 70
x 46 53
x 49 67
+ 28 41
x 51 34
+ 28 30
x 66 39
x 7 74
+ 64 14
x 61 33
x 19 31
x 95 25
+ 23 77
x 39 90
x 65 78
x 82 99
+ 29 25
x 72 36
+ 79 11
+ 31 19
+ 42 25
x 4 46
x 6 49
+ 1 1
x 68 96
1 0
44 39
+ 3 40
o 9 10
o 12 18
+ 9 31
x 7 31
o 21 44
x 23 41
+ 20 29
+ 28 43
+ 28 42
o 31 20
+ 26 12
x 29 16
x 28 12
+ 34 41
x 41 36
+ 30 25
+ 32 36
o 40 13
x 34 22
x 13 5
x 37 34
o 22 25
x 16 19
+ 22 15
+ 6 36
+ 32 3
+ 18 42
+ 26 1
+ 26 36
+ 19 7
+ 44 22
x 18 24
o 39 35
x 27 21
+ 36 27
+ 26 3
o 43 9
+ 38 10
